Nohr Prince(ss),40 23 17 19  21 22 21 19,Sword B Dragonstone B
Nohr Noble,60 32 31 28 32 27 29 32,Sword A  Tome B Dragonstone A
Cavalier,40 22 15 21 20 24 22 21,Sword B  Lance B
Paladin,60 31 26 30 30 32 32 32,Sword A  Lance A
Great Knight,65 35 25 29 27 28 37 28,Sword B  Lance A  Axe B
Knight,45 24 15 22 17 22 26 18,Lance A
General,70 38 25 32 25 32 40 30,Lance A  Axe B
Fighter,45 25 15 23 22 21 19 18,Axe B
Berserker,70 40 25 32 33 25 27 25,Axe S
Mercenary,40 22 15 24 22 20 21 19,Sword B
Hero,60 32 25 35 32 31 30 27,Sword A  Axe B
Bow Knight,55 29 25 32 33 30 27 32,Sword B  Bow A
Outlaw,35 19 18 20 24 18 17 22,Bow B
Adventurer,50 27 31 27 34 27 25 34,Bow A  Staff B
Wyvern Rider,40 22 17 21 20 19 24 15,Axe B
Wyvern Lord,60 33 25 33 29 28 35 26,Lance B  Axe A
Malig Knight,5531 30 28 27 25 31 31,Axe A  Tome B
Dark Mage,35 19 24 16 19 18 19 22,Tome B
Sorcerer,50 25 35 26 29 26 29 33,Tome S
Dark Knight,55 32 31 28 27 31 34 30,Sword B Tome A
Troubadour,35 16 19 24 20 23 16 21, Staff B
Strategist,45 25 33 28 31 33 25 32, Tome B Staff A
Maid, Butler,50 28 31 33 33 32 29 29, Dagger B Staff S
Wolfskin,45 24 15 18 22 17 21 15, Beaststone B
Wolfssegner,65 36 25 29 31 26 32 26 Beaststone S
Hoshido Noble,60 34 28 29 30 33 31 28,Sword A  Staff B Dragonstone A
Samurai,40 20 16 23 25 24 18 20,Sword B
Swordmaster,55 30 28 32 35 33 27 31,Sword S
Master of Arms,65 33 25 30 30 31 31 28,Sword A  Lance B  Axe B
Oni Savage,45 24 19 16 20 17 23 18,Axe B
Oni Chieftain,60 34 28 25 30 25 36 31,Axe A  Tome B
Blacksmith,65 33 25 32 31 30 32 27,Sword B  Axe A
Spear Fighter,40 22 15 23 22 21 22 21,Lance B
Spear Master,60 34 25 33 32 29 30 29,Lance S
Basara,65 31 30 30 31 35 30 32,Lance A  Tome B
Diviner,35 17 22 20 23 19 16 20,Tome B
Onmyoji,45 25 33 31 32 27 25 31,Tome A  Staff B
Monk, Shrine Maiden 35 18 21 20 22 23  17  24,Staff B
Great Master,55 32 30 31 33 32 28  32,Lance B  Staff A
Priestess,50 29 32 30 33 34 26 34,Bow B  Staff A
Sky Knight,35 19 16 21 23 25 18 25,Lance B
Falcon Knight,55 28 27 30 34 35 27 35,Lance A  Staff B
Kinshi Knight,50 27 26 33 31 34 25 31,Lance B  Bow A
Archer,40 21 15 23 21 20 20 17,Bow B
Sniper,55 31 25 35 33 30 31 28,Bow S
Ninja,35 17 15 25 25 18 19 20,Dagger B
Master Ninja,55 27 25 35 35 28 26 34,Sword B  Dagger S
Mechanist,60 30 25 33 30 30 31 31,Dagger A  Bow B
Apothecary,45 24 15 19 19 21 23 20,Bow B
Merchant,65 33 25 29 28 32 33 30,Lance B  Bow A
Kitsune,40 20 18 23 24 24 18 23,Beaststone B
Nine-Tails,55 29 29 33 34 33 27 34,Beaststone S
Songstress,45 28 27 31 31 35 27 28,Lance C
Villager,35 19 15 19 19 22 18 15,Lance C
Dread Fighter,55 32	28 29 31 26 29 34,Sword A Axe B Dagger B
Dark Falcon,45 27 32 28 33 32 26 34,Lance B Tome A
Ballistician,50	39 25 31 25 32 27 26,Bow B
Witch,50 25 36 27 34 28 26 29,Tome S
Lodestar,60 29 26 35 33 40 30 29,Sword S
Vanguard,65 36 25 29 30 30 32 27,Sword A Axe B
Great Lord,60 30 25	32 34 35 29	31,word A Lance B
Grandmaster,55 31 33 33	29 26 28 33,Sword B Tome A
