Bronze Sword,E,4,100,0,0,1,500,Critical Evade +10, cannot trigger critical hits or special skills *1
Iron Sword,D,6,90,0,0,1,1000,Standard issue sword
Steel Sword,C,9,85,0,-5,1,2000,Follow up attack speed -3
Silver Sword,B,12,90,0,0,1,4000,Critical Evade -5; after battle; stats are reduced *2
Brave Sword,A,6,75,0,0,1,8000,2 consecutive attacks when user initiates battle; Defence and Resistance -4
Iron Kukri,D,6,90,0,0,1~2,0,Enemy only; same effect as Iron Sword
Steel Kukri,C,9,85,0,-5,1~2,0,Enemy only; same effect as Steel Sword
Silver Kukri,B,12,90,0,0,1~2,0,Enemy only; same effect as Silver Sword
Armorslayer,D,9,95,0,0,1,2500,Effective against armoured units; Might and Hit rate reduced otherwise
Wyrmslayer,D,9,95,0,0,1	2500,Effective against dragon units; Might and Hit rate reduced otherwise
Killing Edge,C,6,85,25,-10,1,3000,Critical hits deal 4x damage
Levin Sword,C,11,80,0,-20,1~2,3300,Magic weapon *3; cannot trigger critical hits or special skills *1
Ganglari,E,7,85,5,0,1,0,Avatar only, Critical Evade +5; cannot trade
Siegfried,E,11,80,5,0,1~2,0,Xander only, Critical Evade +10; Defence +4 while in possession *4
Bottle,E,1,110,0,10,1,0,Critical Evade +10; not designed for battle…
Umbrella,D,1,85,10,0,1~2,0,Cannot make follow up attacks; enemy’s follow up attack speed +5
Nohrian Blade,D	5,85,0,-10,1,0,Defence +3
Leo’s Iceblade,B,14,85,0,-20,1,0,Magic weapon *3; after battle; stats are reduced *2
Selena’s Blade,	C,7,90,10,0,1,0,Critical Evade -5; follow up attack speed -3
Laslow’s Blade,C,8,80,0	0,1,0,Speed +3, Defence and Resistance -3
(True) Ganglari,B,16,90,5,0,1,0,Critical Evade -5; after battle; user’s HP is reduced by 20%
Falchion,E,13,85,10,0,1,0,Critical Evade +10, effective against dragon units; use to restore 10 HP; cannot trade
Ragnell,E,13,75	0,-5,1~2,0,Defence +3, follow up attack speed -3; cannot trade
Parallel Falchion,E,11,85,5,10,1,0,Effective against dragon units; follow up attack speed +3; cannot trade
Marth’s Spatha,C,9,75,0,0,1,3000,Critical Evade +10
Ike’s Backup,C,10,70,0,-10,1,3000,Defence +3, follow up attack speed -3
Lucina’s Estoc,C,7,75,0,0,1,3000,Follow up attack speed +3
(Chrom’s) Falchion,E,6,80,0,0,1,0,Effective against dragon units; cannot trade
Bronze Lance,E,5,90,0,0,1,500,Critical Evade +10; cannot trigger critical hits or special skills *1
Iron,Lance,D,7,80,0,0,1,1000,Standard issue lance
Steel Lance,C,10,75,0,-5,1,2000,Follow up attack speed -3
Silver Lance,B,14,80,0,0,1,4000,Critical Evade -5; after battle; stats are reduced *2
Brave Lance,A,7,65,0,0,1,8000,2 consecutive attacks when user initiates battle; Defence and Resistance -4
Iron Javelin,D,7,80,0,0,1~2,0,Enemy only; same effect as Iron Lance
Steel Javelin,C,10,75,0,-5,1~2,0,Enemy only; same effect as Steel Lance
Silver Javelin,B,14,80,0,0,1~2,0,Enemy only; same effect as Silver Lance
Javelin,D,6,75,0,0,1~2,1800,Cannot make follow up attacks; enemy’s follow up attack speed +5; cannot trigger critical hits or special skills *1
Spear,B,12,65,0,-10,2,4500,Cannot make follow up attacks; enemy’s follow up attack speed +5
Beast Killer,D,10,85,0,0,1,2500,Effective against horse/beast units; Might and Hit rate reduced otherwise
Killer Lance,C,7,75,25,-10,1,3000,Critical hits deal 4x damage
Blessed Lance,C,6,70,0,0,1,2200,Effective against monsters; recover HP each turn; Defence and Resistance -3
Broom,E,2,100,0,10,1,0,Critical Evade +10; not designed for battle…
Stick,D,5,85,0,0,1,0,Skill +3
Hexlock Spear,C,1,80,0,0,1,0,Resistance +8
Xander’s Lance,B,12	90,0,0,1,0,Cannot trigger critical hits or special skills *1; Skill and Resistance +2; after battle; stats are reduced *2 and Strength +4 for all enemies within a 2 tile radius
Effie’s Lance,C	16,65,0,0,1,0,Follow up attack speed -5; enemy’s follow up attack speed +5
Peri’s Lance,D	2,75,10,0,1~2,0,Cannot make follow up attacks; enemy’s follow up attack speed +5
Bronze Axe,E,6,80,0,0,1,500,Critical Evade +10; cannot trigger critical hits or special skills *1
Iron Axe,D,8,70,0,0,1,1000,Standard issue axe
Steel Axe,C,12,65,0,-5,1,2000,Follow up attack speed -3
Silver Axe,B,16,70,0,0,1,4000,Critical Evade -5; after battle; stats are reduced *2
Brave Axe,A,8,55,0,0,1,8000,2 consecutive attacks when user initiates battle; Defence and Resistance -4
Iron Star Axe,D,8,70,0,0,1~2,0,Enemy only; same effect as Iron Axe
Steel Star Axe,C,12,65,0,-5,1~2,0,Enemy only; same effect as Steel Axe
Silver Star Axe,B,16,70,0,0,1~2,0,Enemy only; same effect as Silver Axe
Hand Axe,D,7,65,0,0,1~2,1800,Cannot make follow up attacks; enemy’s follow up attack speed +5; cannot trigger critical hits or special skills *1
Tomahawk,B,14,55,0,-10,2,4500,Cannot make follow up attacks; enemy’s follow up attack speed +5
Hammer,D,12,75,0,0,1,2500,Effective against armoured units; Might and Hit rate reduced otherwise
Bolt Axe,C,14,65,0,-20,1~2,3300,Magic weapon *3; cannot trigger critical hits or special skills *1
Killer Axe,C,8,65,25,-10,1,3000,Critical hits deal 4x damage
Aurgelmir,S,22,75,15,0,1,0,After the battle; Strength is halved for the next attack
Bölverk,S,21,90,10,0,1~3,0,Garon only; Critical Evade +20
Frying Pan,E,3,90,0,10,1,0,Critical Evade +10; not designed for battle…
Bone Axe,D	9,60,0,0,1,0,Resistance +3
Raider Axe,E,7,65,0,0,1,0,Strips enemy when user has weapon triangle advantage; follow up attack speed +3
Berserker’s Axe,C,17,90,0,0,1,0,After battle; user’s HP is reduced by 30%
Camilla’s Axe,B,12,80,0,0,1,0,Female only; Resistance +2; after battle; stats are reduced *2
Arthur’s Axe,D,10,65,0,0,1,0,Male only; Defence +2
Beruka’s Axe,C,13,60,30,0,1,0,Critical Evade -20; critical hits deal 4x damage; enemy’s follow up attack speed +5
Bronze Dagger,E,2,100,0,0,1~2,500,Critical Evade +10; cannot trigger critical hits or special skills *2 [Skill/Speed -1, Defence/Resistance -2]
Iron Dagger,D,4,90,0,0,1~2,1000,[Magic -2; Defence/Resistance -3]
